Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
New Zealand,89.14331109,85.21985713,79.99834622,74.12620803,69.68626529,68.49652314,65.85938743,63.96748831,63.65688322,62.36527493,60.04998556,60.50008382,58.1458152,57.35761315,54.91390691,53.46148857,54.23155811,55.8044978,57.39144016,55.13105155,49.68672336,44.55034006,40.61809291,38.57280621,37.77870378,36.75722257,40.25146869,43.15447007,45.3299737,45.72616387,44.75293582,43.11274425,46.59204907,55.79404268,56.63033577,62.5183992,68.57084185,62.96678602,54.77277436,54.94562013,55.44955931,58.00761521,58.65798848,54.59576561,48.93311112,43.46596501,37.26088589,34.6457747,34.47689957,31.99870794,30.02769957,28.15908939,26.39644678,24.71730997,22.50512807,20.78114681,18.40034768,16.3073492,19.00250328,24.33638927,29.67682391,34.72380194,35.72897274,34.57369847,34.17788515,34.20174477,33.36406739,31.12446855,28.09471395,31.79707312,43.15904536,50.83788103
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,86.40458023,86.46996253,99.82642823,95.21935516,87.47554561,110.3854946,109.5402051,84.04752196,66.60760263,51.1556697,30.91601851,25.99924719,29.25814567,30.34713954,28.79434284,27.8524598,28.83544601,28.68961635,28.91078315,30.91591551,34.08040784,37.68569025,41.73851038,48.05034021,49.39530728
Niger,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.76489051,7.375390934,8.919727759,9.480943901,13.26837361,11.75993398,10.76064929,8.771769823,10.54842942,10.53758756,13.78037792,23.16318657,24.98781262,32.09530907,39.94773978,48.46092653,44.32593798,44.63867919,44.62033626,40.73614254,41.26617133,41.07993467,40.78836668,45.01677865,72.19008358,64.36612107,63.5074506,69.10090889,61.28432629,63.34753455,82.10446427,73.98228516,69.03539246,60.60383884,55.04979751,49.46022495,18.28281091,17.83029464,14.17010291,15.9360618,15.07810422,14.7467201,18.12965975,19.55442183,22.08588026,29.870103,32.82682659,36.4941472,39.41823429,39.80247091,44.99113141,51.21393486
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.02169312,11.45758109,6.495901284,5.219758494,4.822074863,5.628380851,4.287867889,3.941380586,4.011239866,5.75976798,7.930720362,8.30647788,8.356311865,11.44873726,15.3788184,21.63882269,23.21873502,23.60903029,37.6608491,66.5632838,58.28106972,62.80231407,62.41956197,69.01531919,66.91211866,66.42137885,55.12134405,37.21849023,24.53016179,23.05227518,22.43204915,52.78139051,55.97953189,51.7258588,38.70475117,37.69836055,31.03814531,18.94016655,9.404121196,8.116330906,7.276108146,8.617231853,9.449583046,10.23286152,10.4193367,10.48340164,10.57889833,11.50321542,14.17212788,15.98578063,24.96958663,26.45989467,31.02671582,32.69762604
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,45.43097849,18.18718385,20.03862646,25.04221149,no data,no data,no data,no data,39.55888331,35.70781382,33.90255506,35.99781605,29.79061302,22.88082932,19.96659221,23.14191726,23.678038,27.3746598,33.28261074,33.82872278,37.91561182,37.87002132,39.72149067,39.29215921,40.30689921,40.35962522,51.71449351,51.65302847
Norway,31.53177825,26.34364196,23.79550706,25.96146627,26.18922456,26.70104511,26.86066825,28.14645142,28.46089571,29.897832,29.46085476,25.10655892,24.27607931,22.97555248,22.07506861,19.77613922,19.43528859,20.17771133,20.16998743,19.90780208,20.64238684,21.22357908,22.78456454,23.05100299,22.85137772,24.12888993,25.69807896,30.43683479,35.24149084,38.17399591,33.58782703,29.49429198,25.67142769,20.5499315,22.86381065,25.31818877,33.38712144,26.02811577,25.06746135,24.89659698,21.98640011,22.52419984,26.69104272,34.64636427,32.34363489,30.18712771,27.00675944,24.19778506,21.80998953,20.44617596,18.96842267,17.81500411,18.64331536,20.97255865,17.98936636,16.79066245,12.15363694,11.29057308,13.42388892,25.84599179,25.20749734,19.95973048,20.82435773,19.66789137,15.45627981,15.51883408,16.64274915,15.84177494,14.74067925,14.32937541,18.70640356,15.75450103
Oman,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.194616196,2.083296812,11.9927232,9.55150116,10.99909804,5.732287494,6.215545629,0.276063522,0.13247966,0.020819811,1.095196936,0.599094134,0.634472364,1.326852852,4.534441601,2.299337095,4.322447994,1.869576938,0.97826277,22.60795976,23.07594755,22.2286707,23.6319454,21.88005173,21.21885023,20.76854632,30.92462356,28.92460465,21.73878057,22.45242505,15.88191143,13.03446736,14.52589902,8.387726421,7.563027511,4.440363213,3.199479475,5.80486878,5.461978959,4.442438972,4.586257949,4.660549272,4.038680231,13.85657473,29.33806513,40.10569113,44.69099018,52.46382083,69.68085563,62.92208108
Pakistan,no data,11.95147411,14.14749995,15.14824602,17.14332552,16.4028783,17.02541084,19.16839969,20.72896555,19.308341,19.68729828,18.85211533,18.4552374,21.25365719,23.63873433,25.14367601,27.78549902,28.76465926,30.52423265,32.29969708,35.01303795,36.81027353,98.3388097,48.11330955,42.1116969,35.58308612,39.74603473,40.37359862,40.08817112,40.77024085,36.90903184,32.88516203,37.45429181,37.23518836,37.02070675,41.07734267,47.76492106,49.21084925,49.87315241,51.6979128,53.54104768,61.85295743,59.14421567,64.24787754,64.82578439,57.95867024,58.18518983,58.45707901,59.49432061,67.19998044,68.39417363,72.15155996,67.57771904,62.67975527,56.2993988,52.33882307,48.39536999,47.08248352,51.8799269,52.81980631,54.51279547,52.8184727,56.72722409,57.90355606,57.05171583,57.02067863,60.80878111,60.85596104,64.81953026,77.50451766,79.5588403,74.90559932
Papua New Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.132127117,8.798526077,11.18178626,15.75207654,14.22864158,16.45020352,18.11041101,15.15183954,14.38508795,16.4634705,18.30455698,20.08581282,22.76734041,25.612037,29.21454671,32.20572791,33.61653336,36.74667017,24.95813861,27.73296109,33.10289072,31.51968388,30.39580797,29.99182376,40.066328,36.56582844,37.79669481,43.9184991,45.73065426,41.75708177,42.33338979,47.66439892,48.43234456,40.41998208,37.17648858,31.56209143,25.98049824,22.15664227,21.55532122,21.71617419,17.28586272,16.27835394,19.1239288,24.88962689,26.894612,29.93061603,33.74019009,32.48437021,36.67618005,40.16589502,47.05911038,50.92621772
Paraguay,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.80040011,34.52560312,34.38926553,31.83186887,25.30307682,25.41273723,27.02337818,24.25730141,25.31311219,21.36642691,18.79931759,16.31950733,19.77764979,23.32872496,30.25586505,41.12863004,40.32144095,57.05243549,39.84063557,56.12812223,39.32508895,25.75290154,25.39656082,24.60816145,23.91786351,21.33095517,19.969283,19.05066804,23.56097997,27.66813603,30.24188848,30.230879,42.6748022,32.18635502,22.56831136,18.44573669,14.21022425,11.7894338,10.16167754,9.764962805,8.733803866,7.317295444,9.258002176,10.20293331,12.4014386,14.82664429,15.49437938,15.8986442,17.85787888,20.84043069,30.9515068,31.62177138
Peru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.39787712,43.57945504,39.83348989,37.2269069,29.91715389,25.78004523,23.1796445,22.72755785,20.66700414,18.36676169,16.85437823,16.09949987,17.00944738,20.10006131,21.06477236,21.22492215,21.89987418,23.04098787,30.63531511,32.42544668
Poland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.502337355,7.556644062,8.293216919,10.34464225,3.253212038,13.7521505,19.95860382,21.26091337,60.33552372,48.43235549,42.95653769,42.39484071,39.09343475,39.54115769,36.2028881,32.88127229,41.19332573,44.92310177,44.13370689,46.57169671,46.60915201,42.23390476,44.33407402,46.02734718,48.50908754,49.26541316,48.89940598,50.89046075,45.57727062,46.33529584,49.83486709,46.66081191,44.97970875,42.44455334,46.92098632,43.4002371
Portugal,20.71037746,19.67065792,19.2338379,17.81652989,18.23717151,17.33805552,16.13877431,15.29999111,18.83945292,18.27763988,17.47444461,17.58697831,20.3638146,21.57637985,22.77774383,22.06027176,21.3503907,19.53340563,18.0413225,17.28503811,17.01366071,16.78180457,15.69238903,15.0706384,14.68085398,21.09677098,25.60651479,26.68277768,29.46752173,20.26182365,29.09627583,35.83665377,39.18887471,42.52079278,47.14810836,50.75490454,50.65684012,56.62104778,56.03817753,54.63539233,50.65400483,51.68407289,49.65595231,55.41687393,57.38762485,60.13460843,61.31321567,57.27595477,55.07779736,55.42154773,53.56326583,56.09570532,58.49634735,62.10472123,65.11858253,69.67399483,71.11555127,70.2220267,73.29701155,84.93732627,97.41396397,111.9785663,128.1043592,131.0141279,133.5105808,132.0342635,132.9402466,128.7607727,124.6441003,119.5145696,139.0546636,131.9208613
Qatar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.58962331,21.77028353,19.90952752,46.27888475,54.77685275,50.20409237,57.83715454,54.38221626,76.56518898,81.84591059,51.59936088,59.22463168,47.66579037,38.78811579,30.06095164,19.12558362,13.94701919,9.365215074,11.35667783,35.98043339,30.42520426,33.4738776,32.11841064,30.88322557,24.91195724,35.54688118,46.70677434,51.56880701,52.17736098,62.08805773,72.61384072,58.36024617
Romania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.82334429,18.88314181,18.37720634,18.65443074,22.9583285,23.10075909,27.38727028,26.80101004,23.46157934,19.90458882,16.12901539,13.41829593,13.01288657,12.49451221,21.1859835,28.59007653,32.99465601,35.81598891,36.46633735,38.28142557,37.45566804,37.55793375,35.72330529,35.6232476,35.91457272,47.51418442,49.31761335
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,116,92.4,63.5,53.7,51.9,54.7,73.1,88.7,58.8,48.5,34.5,27.8,21.7,13.28862264,8.443885718,6.74505495,6.086902785,7.775823854,8.380488951,8.888445287,9.573530837,11.05804761,13.78641306,14.14899203,13.84524546,13.49453087,12.91772258,13.16388085,18.5416552,no data
Rwanda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.7838211,5.586607096,7.623651805,8.826782583,8.411104735,7.473945701,8.831202191,9.892945601,11.63330238,9.227616971,12.20200434,13.90945499,15.24255022,17.66575084,21.02040559,20.64568276,24.21318841,29.88791788,33.00874481,26.91776861,49.17050812,47.84068972,47.91021715,50.98810309,54.7706779,91.86854665,83.44702,72.22704479,70.09936636,78.36691942,85.99064892,84.02128959,92.1255369,79.60420204,80.942806,58.97336728,22.50411799,22.10786607,18.29286012,18.50183557,18.82083049,18.72540274,19.09438753,26.08052534,28.32337083,32.38861544,36.56269504,41.31654259,44.92579489,49.82174677,65.57239025,66.57501853
Saint Kitts and Nevis,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.42230692,18.74810596,17.40405718,15.09764026,14.57472725,14.09712714,13.03906696,15.71524905,13.04304187,10.07308188,7.871056417,11.21184778,14.53943308,9.793239484,13.22359411,14.95850467,22.44978467,21.35596839,18.73067397,12.60728881,no data,88.83941753,98.5394109,92.92677261,84.6699088,87.11579166,91.26707176,85.93648641,81.67015906,56.08081427,44.90289759,37.19870763,33.633991,31.82553326,25.40316081,22.8552847,25.50415631,25.32778423
Saint Lucia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.17815524,15.86686355,16.12840461,16.40072732,17.13242039,17.19870303,19.55288565,18.55938623,18.14615457,16.98075065,19.75285986,22.21320837,22.93358063,23.75356813,22.8962668,24.05481249,27.21235754,29.44920929,28.87845696,32.451296,38.09251375,48.81075738,45.58962601,49.56134102,51.89774581,48.55829139,49.06391804,46.67709789,50.99079886,53.00430146,55.21117002,60.76308601,62.06075386,62.36672287,61.07520215,61.36229623,60.44144621,60.6482082,62.14826133,99.69623758,96.02343629
Saint Vincent and the Grenadines,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.819798833,2.039988616,2.128550962,7.118300802,7.132284517,14.27935356,13.02464741,15.97996243,14.90550785,16.01553358,15.50770327,19.07444405,21.81478339,22.87202313,22.23222186,21.64564788,26.44030405,31.09831127,29.20706827,31.1125032,30.2058655,30.23632222,31.04355956,31.74377659,35.8635751,36.15815254,34.83266466,33.44829981,35.37010397,no data,46.15140729,45.72194292,48.86619132,49.43991635,52.72560455,43.85291744,36.91034883,37.49913713,36.96812259,43.38356103,50.721365,53.9983685,57.83401269,59.55282808,64.79986484,64.96970287,65.01028214,57.77551905,58.83314859,61.27034372,72.43190855,no data
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.949411053,6.23534536,11.28919433,16.96381144,19.55383667,22.42102803,29.06419137,37.06360062,42.72434136,47.11607872,53.77151645,70.40908793,61.06085657,59.10650298,60.70395043,62.18336137,57.78974876,58.37988751,52.45211787,51.56540313,50.52359623,63.88326752,60.41749717,70.02121229,96.33705081,74.111578,65.651776,60.497982,58.94707058,59.44396024,55.76913958,53.78367624,50.28741342,42.76326999,39.84181897,34.15089563,33.49577819,31.46614399,28.17950394,33.25564824,40.28081639,41.52596008,50.92833233,54.07991834,54.87428354,56.36569837,48.99403025,46.68351541,49.40494837,44.29124187,43.18580413,46.30101768
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.91400151,14.4779562,14.15440678,12.62779374,15.4887413,20.06613414,19.9637387,16.62100473,17.24163554,23.16022028,21.01033583,19.30651192,21.46019978,56.73327924,57.20291215,57.41138261,71.64743081,89.18094666
Saudi Arabia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.8325795,16.09397878,39.35186681,47.79963887,58.59861355,67.86954546,74.24774458,75.20624716,76.70421361,101.5232255,102.9917197,86.70201315,93.1475981,96.35185951,81.56430238,62.92816897,37.34244632,25.83084129,17.11545555,12.05599935,13.98903002,8.425982114,5.383082818,3.036334195,2.147830043,1.561886307,5.799846995,13.09258691,17.15959924,18.28099625,22.48817927,32.40398858,30.00786843
Senegal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.54291727,15.10195014,14.20613782,15.70740876,18.9020357,14.89886983,18.89307912,22.02157016,26.91886768,27.36272849,31.19449937,38.31997844,47.2449537,58.85477797,61.25730438,66.51079123,60.69030694,63.27085666,63.57290531,53.94789038,51.10519027,51.774444,49.97071588,53.43900481,77.34132098,65.26368378,62.26885928,67.84545971,18.79983617,14.98925441,57.5140056,53.2088107,51.9928677,42.88333441,37.9985379,36.12993509,17.48667264,18.96278186,19.07349327,29.93741794,34.60037063,32.87723619,34.48883052,36.8604693,42.36570882,44.50872572,47.5235874,61.13942173,61.52287884,63.57525248,69.1655245,73.15729835
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.64388578,62.09087016,51.19544068,37.75494352,30.931202,30.07061041,33.32669496,40.31966279,42.66652441,53.21016535,56.29957912,66.43195365,70.02073653,67.87397581,57.90613064,53.72651563,52.03751605,57.39472735,56.52
Seychelles,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.66243194,6.184320797,6.237116262,7.23655498,4.480876623,4.949292369,no data,no data,2.940864373,6.050005276,7.415823476,12.38795448,15.2701058,26.52502282,31.50679597,36.99412101,41.30205509,39.91865195,36.30725433,41.03328115,79.90513461,82.17974426,123.4526477,133.522371,146.6610165,143.0125295,161.240345,159.7867971,177.8371687,199.7868249,195.8598771,176.974925,163.2258289,144.0642801,135.0705393,143.9971822,192.1023645,106.125315,82.22352741,82.50838387,80.06925986,68.19897249,70.39425641,65.32169655,66.14497189,60.33888147,55.91025382,54.20498513,84.84484976,72.85086768
Sierra Leone,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.44871677,21.81479797,21.78054273,25.68518771,29.20049843,29.34169972,34.27261285,38.19498878,41.14668693,39.94360157,44.03262789,50.63612217,52.581023,55.22958874,45.77196196,60.56115028,73.20377988,90.87505585,57.16622954,60.90747508,123.2829303,95.73099091,126.8476393,126.6759019,168.6175287,128.1640966,117.1156327,126.0251187,148.9136862,146.1452353,143.2309895,132.7864812,126.2394393,123.649584,119.8811342,111.6990621,103.2288687,42.16563329,53.43876494,48.0503823,46.84909688,42.03342172,36.37135476,30.58875666,35.08945607,47.64537576,60.72486829,69.15461354,69.08929846,72.44986973,76.33053565,79.28587384
Singapore,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.62438964,18.70616694,19.77929729,21.1406788,26.75374872,37.3332958,35.24269582,35.5155235,42.08402101,46.21142391,37.40020927,34.56629778,40.76738441,49.22248268,55.26042159,58.21480653,58.63669044,56.70555401,56.46481286,61.00549716,65.77197961,67.28260453,78.7131572,82.63846603,84.02792566,78.28729065,75.37241981,75.60045565,77.89952098,82.06994667,73.89139359,69.36994808,72.02772176,72.378376,71.36093106,83.41479938,87.8605152,83.84217098,93.93637467,97.22302187,101.7593681,97.59752717,94.96678779,89.37024578,89.44710184,96.44771002,106.4002309,101.2792522,104.4980205,107.5103079,99.03123208,99.25940204,102.9595878,108.7996377,109.110481,110.4492452,128.1203639,152.9699533,163.8900321
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.47636473,34.76494859,33.85075385,42.56881774,46.1686513,48.62934129,58.00103386,57.90175471,57.11453317,56.13157223,57.28489756,56.08113767,54.30553548,52.67251741,65.24000761,67.36689288
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.20677455,15.82410102,16.52140168,19.94854671,20.3052142,20.96536677,21.63889354,22.42945265,24.24852115,25.15706328,24.28872584,24.16252901,23.99320683,23.3601144,21.08560024,18.93601173,30.5706713,32.68221893,40.89943225,46.44023712,60.33723237,69.12606319,70.21172071,67.07945246,66.81900803,63.60785911,58.84681883,72.98727843,68.71555426
Solomon Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.63259091,8.04007649,10.3990996,11.30418628,14.82392882,19.62926998,23.71093008,39.57868895,54.20133832,72.08122649,69.52451778,70.340015,61.10923729,63.98885155,52.59509653,49.734267,40.77404394,36.1818766,32.49475416,30.58921373,35.81010094,35.28583372,39.49429856,51.19784222,60.41062385,63.00635112,53.18724506,47.97085691,42.30477297,34.3470161,20.73077562,27.49551189,22.9476815,18.3440543,15.22109642,13.47261303,10.46288752,8.960752646,7.066024255,8.466488116,8.089840103,7.949045848,13.6540931,16.45439223
South Africa,41.3760705,40.24268175,38.81177566,37.6403403,36.91406266,36.16816512,35.13000263,34.93681946,39.28712356,38.12444342,35.59436426,34.78867145,34.91771066,33.42518037,31.51711365,31.72367326,33.09982022,32.22736605,35.61428171,34.91233463,33.55341886,33.8004111,36.25376456,34.12491592,30.36225062,33.06489534,35.1316067,36.47101442,36.80516824,34.41857488,28.69599472,26.57976131,27.44637103,27.71389564,27.55919284,26.86012098,27.69093185,28.21375355,28.39860763,28.62578787,27.9706891,30.68787445,33.06828316,36.71625841,43.53833848,43.66295768,43.19852836,42.80063444,42.72353095,40.72518878,37.92902734,38.0451498,31.80066717,31.51411132,30.73346998,29.63712575,28.03011673,24.32598627,24.04482103,26.99463788,31.18536281,34.74204001,37.40787941,40.35590368,43.2533849,45.19546606,47.1340493,48.58820789,51.6767534,56.21667841,68.99956739,68.97842663
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.905728165,17.58698439,37.63167635,59.27205822,104,60.7,46.3,28.09327787,36.35035857,64.69195288
Spain,46.10771726,39.86289651,38.80769637,40.2002615,37.84559025,38.77649078,35.20297869,33.96708438,29.94146776,29.31478338,29.95350479,27.41200527,25.3930284,22.08985098,18.73606585,17.55566454,17.06160064,16.92155147,17.46282467,17.89248811,17.93814647,16.86888995,16.55047799,15.43961451,13.06805141,11.55127901,7.987176093,8.536408331,9.734718362,9.686427749,9.731245912,10.37395817,11.55478613,12.96551939,17.6905352,30.31304044,35.14805098,36.16078349,36.59304307,32.98542046,34.39645143,35.90077999,36.0254007,39.30857497,49.03023377,51.45705984,54.98659343,53.85531333,52.22500581,50.88901293,48.59354852,45.0061527,42.90228296,39.94977726,38.62286241,35.77872707,32.51259336,29.64737587,33.24436681,45.60544569,51.38261914,58.64014635,77.4965818,87.98839416,91.7350706,91.20959177,90.57500539,90.35203771,89.98575203,88.05716765,107.5457668,106.2164816
Sri Lanka,no data,9.652076046,14.28318563,16.42886785,14.73811047,12.59463888,14.91890309,17.21016007,18.19742234,21.14075635,24.75414457,28.78049359,32.27395089,29.25783775,29.9701933,32.24150492,34.96947212,36.40298626,38.84010484,36.71979809,34.18258357,37.1983288,38.13651538,37.04040197,34.50782559,36.33213135,42.71200082,57.60563341,60.13724018,56.23175156,60.73434011,62.19979273,66.32397715,66.17746411,56.26178924,66.47548906,71.86422118,79.53742676,82.56858139,88.86120768,78.93764682,80.49310506,77.9418625,79.17129966,77.89676363,77.80675927,76.22737494,70.14662366,74.24288515,77.69529819,79.20229448,84.36403969,96.30138676,86.45014996,86.49898913,76.5893819,74.28952143,71.84873866,68.78242181,72.75010812,68.73076363,69.42803729,67.50391305,69.45692766,69.56052243,76.33378993,75.00026863,72.26027871,83.58494313,82.59402771,95.69508094,103.0792997
Sudan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,495.200506,285.894968,386.4743135,239.0213986,220.8767077,167.6710061,179.6649665,160.4879779,143.2484203,125.5874711,121.7197493,117.3531469,97.80407084,75.47738646,63.70628969,53.69193747,55.75640121,70.99494624,74.56790681,78.11317292,117.6713326,105.7524575,84.42568924,93.1959652,109.9295452,149.5392475,186.7413832,200.3485043,263.3719916,181.9735785
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.30758578,28.02115135,26.11827493,25.05314906,4.635200391,4.65857376,2.878533279,no data,no data,no data,no data,no data,no data,33.83546975,46.97153146,66.82425328,no data,no data,no data,72.88114634,75.70862785,64.38694862,51.05228417,30.49749891,16.25836392,11.76999035,16.78077478,21.64393644,32.30259661,35.74019455,37.19405299,35.59878225,31.29144422,29.4834556,27.10746438,22.53626229,16.41849508,14.77352751,14.64817334,17.31695326,18.73756519,20.09556485,27.90183395,25.20787124,41.10699379,74.78733772,71.4522035,66.1438959,85.23622787,146.0958621,125.6986124
Sweden,35.90514957,29.86599841,27.26521434,27.03961445,27.54260221,27.36650541,26.72252434,27.10806309,28.17032255,27.68749488,27.33889799,24.72734255,21.81370669,19.70553287,17.75767497,16.03547809,15.0777718,15.20512668,16.70772423,16.62358953,17.11153965,17.07316136,17.51236872,18.27572038,19.22511714,21.88278328,21.17636445,23.72423506,28.49352563,33.94190166,38.66670933,45.55471991,53.08824647,57.77462649,59.70333835,61.13559149,59.17734081,53.92766572,48.35127376,42.95328398,40.21149809,42.09561641,53.3989534,68.31172263,72.80328578,75.41086432,79.11148549,80.55375234,79.73881802,74.71850223,66.56808481,59.0759151,56.37080809,54.78683406,53.36856767,53.46477499,48.42808396,42.84285834,40.89350936,44.39939698,40.93554896,39.73980024,40.47243371,43.09876524,45.74564271,44.45817011,42.86042386,41.35301899,40.03851454,36.5182997,42.04342609,39.31128966
